CustomerID,VisitDate,Channel,PagesViewed,Purchased
1001,2025-05-04,Retail,8,True
1002,2025-05-05,Wholesale,10,False
1003,2025-05-09,Retail,2,True
1004,2025-05-11,Wholesale,1,False
1005,2025-05-08,Wholesale,2,False
1006,2025-05-04,Wholesale,12,False
1007,2025-05-04,Online,7,False
1008,2025-05-05,Online,11,False
1009,2025-05-09,Online,8,True
1010,2025-05-01,Retail,11,False
1011,2025-05-07,Wholesale,3,False
1012,2025-05-06,Retail,15,True
1013,2025-05-04,Online,12,True
1014,2025-05-03,Retail,12,True
1015,2025-05-10,Online,3,False
1016,2025-05-09,Wholesale,11,True
1017,2025-05-02,Retail,3,False
1018,2025-05-06,Online,11,False
1019,2025-05-07,Online,12,False
1020,2025-05-04,Retail,14,False
